geonameid,name,asciiname,name_en,name_es,name_fr,name_it,name_ru,lat,lon,elevation,timezone,feature_code,is_capital,iso_a2,iso_a3,country_name,admin1_code,admin1_name,population,metro_population,pop_growth_10yr,annual_mean_temp,max_temp_warmest_month,min_temp_coldest_month,temp_annual_range,annual_precipitation,sunshine_hours_yr,mean_wind_speed,pm25,pm10,gdp_per_capita_ppp,hdi,internet_pct,life_expectancy,urban_pct,agri_pct_gdp,industry_pct_gdp,services_pct_gdp,literacy_rate,gini,co2_per_capita,hospital_beds_per_1k
3837702,Catamarca,Catamarca,Catamarca,San Fernando del Valle de Catamarca,San Fernando del Valle de Catamarca,Catamarca,Сан-Фернандо-дель-Валье-де-Катамарка,-28.46957,-65.78524,545.0,America/Argentina/Catamarca,PPLA,admin1,AR,ARG,Argentina,02,Catamarca,159139,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3838874,Río Cuarto,Rio Cuarto,Río Cuarto,Ciudad de Río Cuarto,Río Cuarto,Río Cuarto,Рио-Куарто,-33.13044,-64.35272,429.0,America/Argentina/Cordoba,PPLA2,no,AR,ARG,Argentina,05,Cordoba,157010,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3435261,Concordia,Concordia,Concordia,Concordia,Concordia,Concordia,Конкордия,-31.39195,-58.01706,36.0,America/Argentina/Cordoba,PPLA2,no,AR,ARG,Argentina,08,Entre Rios,145210,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3860443,Comodoro Rivadavia,Comodoro Rivadavia,Comodoro Rivadavia,Comodoro Rivadavia,Comodoro Rivadavia,Comodoro Rivadavia,Комодоро-Ривадавия,-45.86256,-67.494,65.0,America/Argentina/Catamarca,PPLA2,no,AR,ARG,Argentina,04,Chubut,140850,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3836846,San Nicolás de los Arroyos,San Nicolas de los Arroyos,San Nicolás de los Arroyos,San Nicolás de los Arroyos,San Nicolás de los Arroyos,San Nicolás de los Arroyos,San Nicolás de los Arroyos,-33.33425,-60.2108,28.0,America/Argentina/Buenos_Aires,PPLA2,no,AR,ARG,Argentina,01,Buenos Aires,134217,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3836669,San Rafael,San Rafael,San Rafael,San Rafael,San Rafael,San Rafael,Сан-Рафаэль,-34.61531,-68.33238,690.0,America/Argentina/Mendoza,PPLA2,no,AR,ARG,Argentina,13,Mendoza,118009,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3427833,Tandil,Tandil,Tandil,Tandil,Tandil,Tandil,Тандиль,-37.3287,-59.1369,207.0,America/Argentina/Buenos_Aires,PPLA2,no,AR,ARG,Argentina,01,Buenos Aires,115877,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3433975,Ezeiza,Ezeiza,Ezeiza,José María Ezeiza,Ezeiza,Ezeiza,Ezeiza,-34.8544,-58.52474,16.0,America/Argentina/Buenos_Aires,PPLA2,no,AR,ARG,Argentina,01,Buenos Aires,115021,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3844421,Mendoza,Mendoza,Mendoza,Mendoza,Mendoza,Mendoza,Мендоса,-32.88946,-68.84582,853.0,America/Argentina/Mendoza,PPLA,admin1,AR,ARG,Argentina,13,Mendoza,114893,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
3837213,San Juan,San Juan,San Juan,Ciudad de San Juan,San Juan,San Juan,Сан-Хуан,-31.53726,-68.52568,646.0,America/Argentina/San_Juan,PPLA,admin1,AR,ARG,Argentina,18,San Juan,109123,,,,,,,,,,,,30431.1931,0.849,,,92.2742,5.806,23.9966,,99.14,,,3.36
